Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Recreio dos Bandeirantes;1;0;0;24;1000.0;364.0;
Copacabana;1;0;0;22;950.0;430.0;67.0
Quintino Bocaiúva;1;0;0;35;750.0;;
Pavuna;1;0;0;15;750.0;;
Tomás Coelho;1;0;0;65;800.0;;
Tijuca;1;0;0;25;900.0;385.0;200.0
Leme;1;0;0;25;1000.0;550.0;25.0
Copacabana;1;0;0;29;1000.0;550.0;
Cachambi;1;0;1;39;850.0;320.0;
Copacabana;1;0;0;33;1100.0;523.0;56.0
Sampaio;1;0;0;51;800.0;205.0;
Vaz Lobo;1;1;0;80;800.0;;75.0
Jardim América;1;0;0;41;800.0;;
Copacabana;1;0;0;30;850.0;550.0;54.0
Encantado;1;0;0;40;500.0;;12.0
Freguesia (Jacarepaguá);1;1;0;49;1100.0;590.0;36.0
Lapa;1;0;0;19;1100.0;256.0;
Pilares;1;0;0;22;450.0;131.0;17.0
Bento Ribeiro;1;0;0;30;480.0;;
Marechal Hermes;1;0;0;50;800.0;280.0;
Vila da Penha;1;0;0;45;1100.0;250.0;
Bonsucesso;1;0;0;38;850.0;170.0;
Cachambi;1;1;0;48;750.0;250.0;
Rocha Miranda;1;0;0;35;550.0;;
Piedade;1;0;0;39;600.0;;16.0
Maracanã;1;0;0;54;1000.0;450.0;20.0
Vargem Grande;1;1;0;35;800.0;250.0;
Sampaio;1;0;0;51;800.0;205.0;
Bonsucesso;1;0;0;25;500.0;;
Botafogo;1;0;0;24;1100.0;520.0;
Copacabana;1;1;0;60;890.0;1800.0;150.0
Lins de Vasconcelos;1;1;0;60;800.0;460.0;250.0
Gardênia Azul;1;0;0;35;650.0;;
Centro;1;0;1;40;950.0;350.0;24.0
Oswaldo Cruz;1;0;0;50;620.0;;
Flamengo;1;0;0;19;800.0;346.0;29.0
Centro;1;0;0;28;950.0;350.0;
Guadalupe;1;0;0;21;750.0;;
Copacabana;1;0;0;28;1100.0;580.0;25.0
Vila Isabel;1;1;0;66;1000.0;750.0;20.0
Maracanã;1;0;0;25;900.0;;
Catete;1;0;0;29;850.0;364.0;29.0
Centro;1;0;0;33;850.0;342.0;21.0
Riachuelo;1;0;0;60;1050.0;;
Copacabana;1;0;0;28;950.0;647.0;56.0
Vila da Penha;1;0;0;40;900.0;;
Anil;1;0;0;35;1000.0;;
Vila da Penha;1;0;0;20;450.0;;
Vila Valqueire;1;0;0;40;850.0;;
Cachambi;1;0;0;55;850.0;;
Jacarepaguá;1;0;0;20;300.0;15.0;7.0
Praça Seca;1;0;0;47;500.0;10.0;
Maria da Graça;1;0;0;40;800.0;;
Catete;1;0;0;26;1050.0;350.0;
Laranjeiras;1;0;0;23;1000.0;400.0;25.0
Pechincha;1;1;0;61;1000.0;347.0;52.0
Flamengo;1;0;0;26;1100.0;390.0;
Campo Grande;1;0;1;70;600.0;;
Freguesia (Jacarepaguá);1;1;0;41;750.0;357.0;16.0
Engenho de Dentro;1;0;0;30;750.0;;
Vicente de Carvalho;1;0;0;50;600.0;;
Oswaldo Cruz;1;0;0;40;700.0;140.0;
Bangu;1;0;0;20;400.0;;
Curicica;1;1;1;48;1000.0;950.0;
Barra da Tijuca;1;1;1;42;1100.0;669.0;
Vargem Pequena;1;1;1;70;1000.0;680.0;89.0
Catete;1;0;0;26;800.0;400.0;29.0
Centro;1;0;0;25;700.0;260.0;20.0
Quintino Bocaiúva;1;0;0;40;400.0;240.0;
Freguesia (Jacarepaguá);1;1;0;32;900.0;263.0;15.0
Campo Grande;1;0;0;45;550.0;;
Braz de Pina;1;0;0;30;450.0;;
Vila da Penha;1;0;0;25;600.0;;
Campo Grande;1;0;0;35;500.0;;
Copacabana;1;0;0;31;1100.0;506.0;58.0
Centro;1;0;0;19;850.0;300.0;24.0
Centro;1;0;0;25;800.0;350.0;
Centro;1;0;0;31;750.0;350.0;20.0
Madureira;1;0;0;45;550.0;198.0;
Praça da Bandeira;1;0;0;23;900.0;363.0;25.0
Centro;1;0;0;15;800.0;305.0;20.0
Campo Grande;1;0;0;40;600.0;;
Tijuca;1;0;0;30;950.0;193.0;24.0
Oswaldo Cruz;1;0;0;36;800.0;;
Jacarepaguá;1;1;0;50;1100.0;480.0;14.0
Senador Vasconcelos;1;1;0;50;650.0;;
Braz de Pina;1;1;0;45;720.0;80.0;
Catete;1;0;0;30;1000.0;403.0;
Centro;1;0;0;30;1100.0;400.0;
Laranjeiras;1;0;0;27;1000.0;460.0;25.0
Riachuelo;1;1;0;45;900.0;557.0;16.0
Vaz Lobo;1;1;1;44;800.0;;
Marechal Hermes;1;0;0;33;600.0;3.0;
